period_start,period_end,followers_gained,followers_lost,followers_net,followers_total,subscribers_gained,subscribers_lost,subscribers_net,subscribers_total,views
05-01-20,5/31/2020,1,0,1,1,0,0,0,0,128
06-01-20,6/30/2020,8,0,8,9,0,0,0,0,16130
07-01-20,7/31/2020,103,0,103,112,0,0,0,0,14616
08-01-20,8/31/2020,46,0,46,158,0,0,0,0,4053
09-01-20,9/30/2020,35,1,34,192,0,0,0,0,5153
10-01-20,10/31/2020,30,0,30,222,0,0,0,0,16029
11-01-20,11/30/2020,311,1,310,532,3,0,3,3,59976
12-01-20,12/31/2020,217,0,217,749,10,1,9,12,76322
01-01-21,1/31/2021,826,1,825,1574,14,1,13,25,108962
02-01-21,2/28/2021,394,1,393,1967,7,0,7,32,100650
03-01-21,3/31/2021,390,2,388,2355,7,2,5,37,102987
04-01-21,4/30/2021,454,2,452,2807,8,0,8,45,134765
05-01-21,5/31/2021,462,7,455,3262,6,0,6,51,167608
06-01-21,6/30/2021,595,3,592,3854,5,0,5,56,154235
07-01-21,7/31/2021,541,5,536,4390,20,6,14,70,144167
08-01-21,8/31/2021,57,0,57,4447,6,2,4,74,
